Flow,FCO2,FO2,TimeMinRel,TimeMinAbs,rawTime
-1.91,0.04417,0.7568,-3,76.7293333333333,-180
-2.09,0.04419,0.7568,-2.99966666666667,76.7296666666667,-179.98
-2.31,0.04421,0.7568,-2.99933333333333,76.73,-179.96
-2.31,0.04422,0.7568,-2.999,76.7303333333333,-179.94
-2.25,0.04423,0.7567,-2.99866666666667,76.7306666666667,-179.92
-2.36,0.04424,0.7567,-2.99833333333333,76.731,-179.9
-2.56,0.04424,0.7567,-2.998,76.7313333333333,-179.88
-2.7,0.04426,0.7566,-2.99766666666667,76.7316666666667,-179.86
-2.84,0.04427,0.7566,-2.99733333333333,76.732,-179.84
-3.03,0.04429,0.7566,-2.997,76.7323333333333,-179.82
-3.21,0.04431,0.7565,-2.99666666666667,76.7326666666667,-179.8
-3.29,0.04433,0.7565,-2.99633333333333,76.733,-179.78
-3.37,0.04434,0.7565,-2.996,76.7333333333333,-179.76
-3.41,0.04436,0.7565,-2.99566666666667,76.7336666666667,-179.74
-3.37,0.04438,0.7564,-2.99533333333333,76.734,-179.72
-3.41,0.0444,0.7564,-2.995,76.7343333333333,-179.7
-3.5,0.04442,0.7564,-2.99466666666667,76.7346666666667,-179.68
-3.58,0.04445,0.7564,-2.99433333333333,76.735,-179.66
-3.58,0.04448,0.7563,-2.994,76.7353333333333,-179.64
-3.62,0.04452,0.7563,-2.99366666666667,76.7356666666667,-179.62
-3.66,0.04455,0.7563,-2.99333333333333,76.736,-179.6
-3.7,0.04459,0.7562,-2.993,76.7363333333333,-179.58
-3.45,0.04462,0.7562,-2.99266666666667,76.7366666666667,-179.56
-3.16,0.04465,0.7561,-2.99233333333333,76.737,-179.54
-3.41,0.04467,0.7561,-2.992,76.7373333333333,-179.52
-3.25,0.0447,0.7561,-2.99166666666667,76.7376666666667,-179.5
-2.84,0.04472,0.756,-2.99133333333333,76.738,-179.48
-3.03,0.04476,0.756,-2.991,76.7383333333333,-179.46
-2.61,0.04479,0.756,-2.99066666666667,76.7386666666667,-179.44
-2.09,0.04483,0.7559,-2.99033333333333,76.739,-179.42
-1.85,0.04487,0.7559,-2.99,76.7393333333333,-179.4
-1.71,0.04491,0.7559,-2.98966666666667,76.7396666666667,-179.38
-1.71,0.04494,0.7559,-2.98933333333333,76.74,-179.36
-1.64,0.04497,0.7558,-2.989,76.7403333333333,-179.34
-1.91,0.045,0.7558,-2.98866666666667,76.7406666666667,-179.32
-2.09,0.04503,0.7558,-2.98833333333333,76.741,-179.3
-2.2,0.04505,0.7557,-2.988,76.7413333333333,-179.28
-1.57,0.04508,0.7557,-2.98766666666667,76.7416666666667,-179.26
-1.41,0.0451,0.7556,-2.98733333333333,76.742,-179.24
-1.64,0.04513,0.7553,-2.987,76.7423333333333,-179.22
-1.57,0.04516,0.755,-2.98666666666667,76.7426666666667,-179.2
-1.57,0.04519,0.7549,-2.98633333333333,76.743,-179.18
-1.41,0.04522,0.7548,-2.986,76.7433333333333,-179.16
-1.24,0.04524,0.7548,-2.98566666666667,76.7436666666667,-179.14
-0.34,0.04526,0.7547,-2.98533333333333,76.744,-179.12
1.01,0.04526,0.7556,-2.985,76.7443333333333,-179.1
2.28,0.04526,0.7564,-2.98466666666667,76.7446666666667,-179.08
4.03,0.04519,0.7582,-2.98433333333333,76.745,-179.06
6.57,0.04512,0.76,-2.984,76.7453333333333,-179.04
11.41,0.04484,0.7626,-2.98366666666667,76.7456666666667,-179.02
25.15,0.04456,0.7653,-2.98333333333333,76.746,-179
31.77,0.04163,0.7682,-2.983,76.7463333333333,-178.98
32.17,0.03869,0.7712,-2.98266666666667,76.7466666666667,-178.96
35.21,0.03465,0.7741,-2.98233333333333,76.747,-178.94
38.25,0.03061,0.777,-2.982,76.7473333333333,-178.92
41.33,0.02653,0.7792,-2.98166666666667,76.7476666666667,-178.9
42.48,0.02245,0.7813,-2.98133333333333,76.748,-178.88
43.98,0.01855,0.7834,-2.981,76.7483333333333,-178.86
45.4,0.01464,0.7854,-2.98066666666667,76.7486666666667,-178.84
46.34,0.01164,0.7868,-2.98033333333333,76.749,-178.82
46.62,0.00863,0.7882,-2.98,76.7493333333333,-178.8
48.15,0.00675,0.7894,-2.97966666666667,76.7496666666667,-178.78
47.54,0.00486,0.7905,-2.97933333333333,76.75,-178.76
49.38,0.00388,0.7913,-2.979,76.7503333333333,-178.74
49.39,0.00289,0.792,-2.97866666666667,76.7506666666667,-178.72
49.33,0.00245,0.7929,-2.97833333333333,76.751,-178.7
49.6,0.002,0.7938,-2.978,76.7513333333333,-178.68
50.22,0.00181,0.7946,-2.97766666666667,76.7516666666667,-178.66
50.56,0.00162,0.7954,-2.97733333333333,76.752,-178.64
50.77,0.0015,0.796,-2.977,76.7523333333333,-178.62
50.74,0.00137,0.7967,-2.97666666666667,76.7526666666667,-178.6
50.06,0.00129,0.7973,-2.97633333333333,76.753,-178.58
50.37,0.0012,0.7979,-2.976,76.7533333333333,-178.56
50.65,0.00118,0.7986,-2.97566666666667,76.7536666666667,-178.54
50.54,0.00116,0.7992,-2.97533333333333,76.754,-178.52
50.34,0.00113,0.7995,-2.975,76.7543333333333,-178.5
50.29,0.0011,0.7997,-2.97466666666667,76.7546666666667,-178.48
50.63,0.00106,0.8,-2.97433333333333,76.755,-178.46
50.52,0.00102,0.8002,-2.974,76.7553333333333,-178.44
49.83,0.00098,0.8002,-2.97366666666667,76.7556666666667,-178.42
50.14,0.00093,0.8002,-2.97333333333333,76.756,-178.4
49.95,0.0009,0.8002,-2.973,76.7563333333333,-178.38
50.09,0.00087,0.8002,-2.97266666666667,76.7566666666667,-178.36
48.86,0.00086,0.8002,-2.97233333333333,76.757,-178.34
49.28,0.00085,0.8002,-2.972,76.7573333333333,-178.32
48.77,0.00085,0.8002,-2.97166666666667,76.7576666666667,-178.3
48.54,0.00085,0.8002,-2.97133333333333,76.758,-178.28
48.24,0.00084,0.8,-2.971,76.7583333333333,-178.26
48.16,0.00083,0.7999,-2.97066666666667,76.7586666666667,-178.24
46.25,0.00081,0.7998,-2.97033333333333,76.759,-178.22
47.04,0.00079,0.7997,-2.97,76.7593333333333,-178.2
46.03,0.00077,0.7997,-2.96966666666667,76.7596666666667,-178.18
45.59,0.00075,0.7996,-2.96933333333333,76.76,-178.16
43.69,0.00074,0.7996,-2.969,76.7603333333333,-178.14
42.6,0.00072,0.7995,-2.96866666666667,76.7606666666667,-178.12
40.88,0.0007,0.7995,-2.96833333333333,76.761,-178.1
39.04,0.00068,0.7995,-2.968,76.7613333333333,-178.08
36.87,0.00067,0.7995,-2.96766666666667,76.7616666666667,-178.06
34.46,0.00065,0.7994,-2.96733333333333,76.762,-178.04
32.69,0.00064,0.7994,-2.967,76.7623333333333,-178.02
30.25,0.00062,0.7994,-2.96666666666667,76.7626666666667,-178
16.97,0.00061,0.7994,-2.96633333333333,76.763,-177.98
-12.33,0.0006,0.7994,-2.966,76.7633333333333,-177.96
-8.32,0.0006,0.7994,-2.96566666666667,76.7636666666667,-177.94
1.34,0.00059,0.7993,-2.96533333333333,76.764,-177.92
-1.42,0.00059,0.7993,-2.965,76.7643333333333,-177.9
-3.22,0.00058,0.7992,-2.96466666666667,76.7646666666667,-177.88
-3.75,0.00058,0.7991,-2.96433333333333,76.765,-177.86
-3.59,0.00057,0.7991,-2.964,76.7653333333333,-177.84
-5.36,0.00057,0.799,-2.96366666666667,76.7656666666667,-177.82
-7.4,0.00056,0.799,-2.96333333333333,76.766,-177.8
-8.78,0.00056,0.7989,-2.963,76.7663333333333,-177.78
-11.28,0.00055,0.7989,-2.96266666666667,76.7666666666667,-177.76
-15.65,0.00055,0.7989,-2.96233333333333,76.767,-177.74
-16.93,0.00055,0.7989,-2.962,76.7673333333333,-177.72
-15.85,0.00055,0.799,-2.96166666666667,76.7676666666667,-177.7
-15.9,0.00055,0.799,-2.96133333333333,76.768,-177.68
-15.87,0.00055,0.799,-2.961,76.7683333333333,-177.66
-16.26,0.00055,0.799,-2.96066666666667,76.7686666666667,-177.64
-16.47,0.00055,0.799,-2.96033333333333,76.769,-177.62
-16.8,0.00055,0.799,-2.96,76.7693333333333,-177.6
-17.03,0.00056,0.799,-2.95966666666667,76.7696666666667,-177.58
-17.26,0.00056,0.799,-2.95933333333333,76.77,-177.56
-17.49,0.00056,0.799,-2.959,76.7703333333333,-177.54
-17.54,0.00056,0.7991,-2.95866666666667,76.7706666666667,-177.52
-17.87,0.00057,0.7991,-2.95833333333333,76.771,-177.5
-18.19,0.00057,0.7991,-2.958,76.7713333333333,-177.48
-18.37,0.00057,0.7991,-2.95766666666667,76.7716666666667,-177.46
-18.74,0.00057,0.7991,-2.95733333333333,76.772,-177.44
-19.15,0.00057,0.7991,-2.957,76.7723333333333,-177.42
-19.22,0.00057,0.7991,-2.95666666666667,76.7726666666667,-177.4
-19.26,0.00058,0.799,-2.95633333333333,76.773,-177.38
-19.24,0.00059,0.799,-2.956,76.7733333333333,-177.36
-18.97,0.00066,0.7989,-2.95566666666667,76.7736666666667,-177.34
-18.91,0.00072,0.7987,-2.95533333333333,76.774,-177.32
-18.87,0.00087,0.7979,-2.955,76.7743333333333,-177.3
-18.82,0.00101,0.7971,-2.95466666666667,76.7746666666667,-177.28
-18.37,0.00192,0.7965,-2.95433333333333,76.775,-177.26
-18.07,0.00283,0.7959,-2.954,76.7753333333333,-177.24
-17.56,0.00364,0.7951,-2.95366666666667,76.7756666666667,-177.22
-17.62,0.00444,0.7943,-2.95333333333333,76.776,-177.2
-17.51,0.00547,0.7932,-2.953,76.7763333333333,-177.18
-17.46,0.00649,0.7922,-2.95266666666667,76.7766666666667,-177.16
-17.28,0.00766,0.7914,-2.95233333333333,76.777,-177.14
-17.28,0.00882,0.7907,-2.952,76.7773333333333,-177.12
-17.16,0.01008,0.7897,-2.95166666666667,76.7776666666667,-177.1
-17.22,0.01133,0.7887,-2.95133333333333,76.778,-177.08
-17.12,0.01258,0.7876,-2.951,76.7783333333333,-177.06
-17.03,0.01383,0.7866,-2.95066666666667,76.7786666666667,-177.04
-16.69,0.01502,0.7855,-2.95033333333333,76.779,-177.02
-16.84,0.01621,0.7843,-2.95,76.7793333333333,-177
-16.8,0.01727,0.7834,-2.94966666666667,76.7796666666667,-176.98
-16.76,0.01833,0.7825,-2.94933333333333,76.78,-176.96
