Time,flow,pao,peso,pgastric,vol,ptp,ModifiedFlow,ModifiedPao,ModifiedPeso,TimeMinRel,TimeMinAbs
0,0.105,172.98,169.253,-0.003,2.75,158.903,-3.15,10.32,-14.047,0,181.013333333333
0.01,0.106,172.974,169.153,0.003,2.75,158.797,-3.18,10.326,-14.147,0.000166666666666667,181.0135
0.02,0.107,172.963,169.088,-0.003,2.75,158.724,-3.21,10.337,-14.212,0.000333333333333333,181.013666666667
0.03,0.107,172.954,169.06,-0.003,2.75,158.685,-3.21,10.346,-14.24,0.0005,181.013833333333
0.04,0.107,172.952,169.032,-0.003,2.75,158.654,-3.21,10.348,-14.268,0.000666666666666667,181.014
0.05,0.107,172.952,168.954,0.003,2.75,158.578,-3.21,10.348,-14.346,0.000833333333333333,181.014166666667
0.06,0.106,172.971,168.851,-0.003,2.75,158.492,-3.18,10.329,-14.449,0.001,181.014333333333
0.07,0.106,172.991,168.758,-0.003,2.75,158.419,-3.18,10.309,-14.542,0.00116666666666667,181.0145
0.08,0.106,173.008,168.655,0.003,2.75,158.332,-3.18,10.292,-14.645,0.00133333333333333,181.014666666667
0.09,0.107,173.019,168.526,0.003,2.75,158.215,-3.21,10.281,-14.774,0.0015,181.014833333333
0.1,0.107,173.027,168.395,0.003,2.75,158.092,-3.21,10.273,-14.905,0.00166666666666667,181.015
0.11,0.11,173.01,168.285,0.003,2.75,157.966,-3.3,10.29,-15.015,0.00183333333333333,181.015166666667
0.12,0.111,172.982,168.188,-0.003,2.75,157.84,-3.33,10.318,-15.112,0.002,181.015333333333
0.13,0.112,172.96,168.095,-0.003,2.75,157.725,-3.36,10.34,-15.205,0.00216666666666667,181.0155
0.14,0.113,172.94,168.017,-0.003,2.75,157.627,-3.39,10.36,-15.283,0.00233333333333333,181.015666666667
0.15,0.114,172.929,167.967,0.003,2.75,157.566,-3.42,10.371,-15.333,0.0025,181.015833333333
0.16,0.116,172.924,167.947,0.006,2.75,157.54,-3.48,10.376,-15.353,0.00266666666666667,181.016
0.17,0.118,172.921,167.953,0.003,2.75,157.543,-3.54,10.379,-15.347,0.00283333333333333,181.016166666667
0.18,0.12,172.921,167.981,-0.003,2.75,157.571,-3.6,10.379,-15.319,0.003,181.016333333333
0.19,0.124,172.929,168.028,0.003,2.75,157.627,-3.72,10.371,-15.272,0.00316666666666667,181.0165
0.2,0.127,172.935,168.076,-0.003,2.75,157.68,-3.81,10.365,-15.224,0.00333333333333333,181.016666666667
0.21,0.129,172.932,168.12,-0.003,2.75,157.722,-3.87,10.368,-15.18,0.0035,181.016833333333
0.22,0.13,172.929,168.148,-0.003,2.75,157.747,-3.9,10.371,-15.152,0.00366666666666667,181.017
0.23,0.132,172.929,168.146,0.003,2.75,157.745,-3.96,10.371,-15.154,0.00383333333333333,181.017166666667
0.24,0.132,172.935,168.095,-0.003,2.75,157.7,-3.96,10.365,-15.205,0.004,181.017333333333
0.25,0.131,172.96,168.104,-0.003,2.75,157.734,-3.93,10.34,-15.196,0.00416666666666667,181.0175
0.26,0.132,172.974,168.325,-0.003,2.75,157.968,-3.96,10.326,-14.975,0.00433333333333333,181.017666666667
0.27,0.135,172.982,168.699,-0.003,2.75,158.352,-4.05,10.318,-14.601,0.0045,181.017833333333
0.28,0.134,172.982,169.074,-0.003,2.75,158.727,-4.02,10.318,-14.226,0.00466666666666667,181.018
0.29,0.136,172.988,169.388,0.003,2.75,159.046,-4.08,10.312,-13.912,0.00483333333333333,181.018166666667
0.3,0.137,172.974,169.653,0.003,2.75,159.297,-4.11,10.326,-13.647,0.005,181.018333333333
0.31,0.138,172.952,169.866,0.003,2.75,159.488,-4.14,10.348,-13.434,0.00516666666666667,181.0185
0.32,0.139,172.932,170.02,0.003,2.75,159.622,-4.17,10.368,-13.28,0.00533333333333333,181.018666666667
0.33,0.14,172.912,170.107,0.003,2.75,159.689,-4.2,10.388,-13.193,0.0055,181.018833333333
0.34,0.143,172.893,170.132,-0.003,2.75,159.697,-4.29,10.407,-13.168,0.00566666666666667,181.019
0.35,0.145,172.893,170.076,-0.003,2.75,159.639,-4.35,10.407,-13.224,0.00583333333333333,181.019166666667
0.36,0.146,172.924,169.942,-0.003,2.75,159.535,-4.38,10.376,-13.358,0.006,181.019333333333
0.37,0.151,172.949,169.726,0.003,2.75,159.345,-4.53,10.351,-13.574,0.00616666666666667,181.0195
0.38,0.153,172.94,169.441,0.003,2.75,159.051,-4.59,10.36,-13.859,0.00633333333333333,181.019666666667
0.39,0.155,172.935,169.175,-0.003,2.75,158.783,-4.65,10.365,-14.125,0.0065,181.019833333333
0.4,0.156,172.929,169.018,-0.003,2.75,158.618,-4.68,10.371,-14.282,0.00666666666666667,181.02
0.41,0.157,172.921,168.951,0.003,2.75,158.542,-4.71,10.379,-14.349,0.00683333333333333,181.020166666667
0.42,0.159,172.915,168.943,0.003,2.75,158.528,-4.77,10.385,-14.357,0.007,181.020333333333
0.43,0.159,172.912,169.013,-0.003,2.75,158.595,-4.77,10.388,-14.287,0.00716666666666667,181.0205
0.44,0.157,172.932,169.147,-0.003,2.75,158.749,-4.71,10.368,-14.153,0.00733333333333333,181.020666666667
0.45,0.157,172.974,169.259,-0.003,2.75,158.903,-4.71,10.326,-14.041,0.0075,181.020833333333
0.46,0.156,173.016,169.276,-0.003,2.75,158.962,-4.68,10.284,-14.024,0.00766666666666667,181.021
0.47,0.152,173.075,169.231,-0.003,2.75,158.976,-4.56,10.225,-14.069,0.00783333333333333,181.021166666667
0.48,0.151,173.147,169.245,-0.003,2.75,159.062,-4.53,10.153,-14.055,0.008,181.021333333333
0.49,0.15,173.22,169.388,-0.003,2.75,159.278,-4.5,10.08,-13.912,0.00816666666666667,181.0215
0.5,0.15,173.262,169.606,-0.003,2.75,159.538,-4.5,10.038,-13.694,0.00833333333333333,181.021666666667
0.51,0.153,173.234,169.746,-0.003,2.75,159.653,-4.59,10.066,-13.554,0.0085,181.021833333333
0.52,0.154,173.125,169.709,0.003,2.75,159.504,-4.62,10.175,-13.591,0.00866666666666667,181.022
0.53,0.152,173.019,169.595,-0.003,2.75,159.283,-4.56,10.281,-13.705,0.00883333333333333,181.022166666667
0.54,0.15,172.94,169.466,-0.003,2.75,159.076,-4.5,10.36,-13.834,0.009,181.022333333333
0.55,0.15,172.893,169.329,-0.003,2.75,158.892,-4.5,10.407,-13.971,0.00916666666666667,181.0225
0.56,0.149,172.87,169.22,0.003,2.75,158.76,-4.47,10.43,-14.08,0.00933333333333333,181.022666666667
0.57,0.146,172.865,169.153,0.003,2.75,158.687,-4.38,10.435,-14.147,0.0095,181.022833333333
0.58,0.147,172.856,169.083,0.003,2.75,158.609,-4.41,10.444,-14.217,0.00966666666666667,181.023
0.59,0.147,172.856,168.962,0.003,2.75,158.489,-4.41,10.444,-14.338,0.00983333333333333,181.023166666667
0.6,0.147,172.862,168.828,-0.003,2.75,158.36,-4.41,10.438,-14.472,0.01,181.023333333333
0.61,0.149,172.876,168.713,-0.003,2.75,158.259,-4.47,10.424,-14.587,0.0101666666666667,181.0235
0.62,0.151,172.91,168.635,-0.003,2.75,158.215,-4.53,10.39,-14.665,0.0103333333333333,181.023666666667
0.63,0.152,172.924,168.585,-0.003,2.75,158.178,-4.56,10.376,-14.715,0.0105,181.023833333333
0.64,0.153,172.929,168.543,-0.003,2.75,158.142,-4.59,10.371,-14.757,0.0106666666666667,181.024
0.65,0.152,172.943,168.464,-0.003,2.75,158.078,-4.56,10.357,-14.836,0.0108333333333333,181.024166666667
0.66,0.152,172.968,168.381,0.003,2.75,158.019,-4.56,10.332,-14.919,0.011,181.024333333333
0.67,0.151,172.996,168.313,0.003,2.75,157.98,-4.53,10.304,-14.987,0.0111666666666667,181.0245
0.68,0.151,173.016,168.221,0.003,2.75,157.907,-4.53,10.284,-15.079,0.0113333333333333,181.024666666667
0.69,0.151,173.022,168.092,-0.003,2.75,157.784,-4.53,10.278,-15.208,0.0115,181.024833333333
0.7,0.151,173.041,167.947,0.003,2.75,157.658,-4.53,10.259,-15.353,0.0116666666666667,181.025
0.71,0.152,173.035,167.818,0.003,2.75,157.524,-4.56,10.265,-15.482,0.0118333333333333,181.025166666667
0.72,0.153,173.027,167.712,-0.003,2.75,157.409,-4.59,10.273,-15.588,0.012,181.025333333333
0.73,0.155,173.008,167.606,-0.003,2.75,157.283,-4.65,10.292,-15.694,0.0121666666666667,181.0255
0.74,0.156,172.974,167.511,0.003,2.75,157.154,-4.68,10.326,-15.789,0.0123333333333333,181.025666666667
0.75,0.156,172.94,167.435,0.003,2.75,157.045,-4.68,10.36,-15.865,0.0125,181.025833333333
0.76,0.158,172.91,167.39,0.003,2.75,156.97,-4.74,10.39,-15.91,0.0126666666666667,181.026
0.77,0.158,172.87,167.385,0.003,2.75,156.925,-4.74,10.43,-15.915,0.0128333333333333,181.026166666667
0.78,0.158,172.837,167.41,-0.003,2.75,156.917,-4.74,10.463,-15.89,0.013,181.026333333333
